Date,Fixture,Season,League,Market,MatchRating,Fair Odds,Available Odds,Value Rating,Result,P/L
2021-09-12,Bordeaux vs Lens,2021_22,ligue1,Home,-1,2.48,3.19,✅ Good,loss,-1.0
2021-09-12,Nantes vs Nice,2021_22,ligue1,Home,-5,1.89,3.31,✅ Excellent,loss,-1.0
2021-09-12,Montpellier vs St Etienne,2021_22,ligue1,Home,4,2.09,2.59,✅ Good,win,1.59
2021-09-12,Brest vs Angers,2021_22,ligue1,Away,-11,1.71,2.68,✅ Excellent,loss,-1.0
2021-09-12,Rennes vs Reims,2021_22,ligue1,Home,7,1.4,1.67,✅ Good,loss,-1.0
2021-09-17,Strasbourg vs Metz,2021_22,ligue1,Away,0,2.81,4.3,✅ Excellent,loss,-1.0
2021-09-18,St Etienne vs Bordeaux,2021_22,ligue1,Away,1,3.57,4.04,✅ Fair,win,3.04
2021-09-18,Lens vs Lille,2021_22,ligue1,Home,6,2.29,2.54,✅ Fair,win,1.54
2021-09-19,Paris SG vs Lyon,2021_22,ligue1,Away,14,4.0,8.19,✅ Excellent,loss,-1.0
2021-09-19,Marseille vs Rennes,2021_22,ligue1,Home,7,1.4,1.95,✅ Excellent,win,0.95
2021-09-19,Troyes vs Montpellier,2021_22,ligue1,Draw,-6,3.0,3.47,✅ Fair,win,2.47
2021-09-19,Troyes vs Montpellier,2021_22,ligue1,Away,-6,2.7,2.73,✅ Fair,loss,-1.0
2021-09-19,Reims vs Lorient,2021_22,ligue1,Away,-1,2.79,3.31,✅ Good,loss,-1.0
2021-09-19,Clermont vs Brest,2021_22,ligue1,Draw,5,2.5,3.78,✅ Excellent,win,2.78
2021-09-19,Angers vs Nantes,2021_22,ligue1,Home,9,1.67,2.11,✅ Good,loss,-1.0
2021-09-19,Angers vs Nantes,2021_22,ligue1,Draw,9,3.0,3.32,✅ Fair,loss,-1.0
2021-09-19,Nice vs Monaco,2021_22,ligue1,Draw,13,2.5,3.36,✅ Good,win,2.36
2021-09-19,Nice vs Monaco,2021_22,ligue1,Away,13,2.5,2.63,✅ Fair,loss,-1.0
2021-09-22,Rennes vs Clermont,2021_22,ligue1,Home,-5,1.89,2.01,✅ Fair,win,1.01
2021-09-22,Lorient vs Nice,2021_22,ligue1,Away,-11,1.71,2.26,✅ Excellent,loss,-1.0
2021-09-22,Metz vs Paris SG,2021_22,ligue1,Home,-19,5.0,10.61,✅ Excellent,loss,-1.0
2021-09-22,Metz vs Paris SG,2021_22,ligue1,Away,-19,1.25,1.26,✅ Fair,win,0.26
2021-09-22,Lyon vs Troyes,2021_22,ligue1,Draw,1,3.95,5.02,✅ Good,loss,-1.0
2021-09-22,Lyon vs Troyes,2021_22,ligue1,Away,1,3.57,7.24,✅ Excellent,loss,-1.0
2021-09-22,Lille vs Reims,2021_22,ligue1,Away,-5,3.92,5.26,✅ Good,loss,-1.0
2021-09-22,Montpellier vs Bordeaux,2021_22,ligue1,Home,8,1.8,1.98,✅ Fair,loss,-1.0
2021-09-22,Montpellier vs Bordeaux,2021_22,ligue1,Away,8,2.7,3.67,✅ Good,loss,-1.0
2021-09-22,Angers vs Marseille,2021_22,ligue1,Home,-3,2.11,3.5,✅ Excellent,loss,-1.0
2021-09-22,Nantes vs Brest,2021_22,ligue1,Draw,5,2.5,3.39,✅ Good,loss,-1.0
2021-09-22,Lens vs Strasbourg,2021_22,ligue1,Draw,5,2.5,3.57,✅ Good,loss,-1.0
2021-09-22,Monaco vs St Etienne,2021_22,ligue1,Draw,1,3.95,4.32,✅ Fair,loss,-1.0
2021-09-22,Monaco vs St Etienne,2021_22,ligue1,Away,1,3.57,6.25,✅ Excellent,loss,-1.0
2021-09-25,Paris SG vs Montpellier,2021_22,ligue1,Draw,9,3.0,7.17,✅ Excellent,loss,-1.0
2021-09-25,Lyon vs Lorient,2021_22,ligue1,Away,0,2.81,8.36,✅ Excellent,loss,-1.0
2021-09-25,Strasbourg vs Lille,2021_22,ligue1,Home,6,2.29,2.77,✅ Good,loss,-1.0
2021-09-25,St Etienne vs Nice,2021_22,ligue1,Away,-16,1.5,2.26,✅ Excellent,win,1.26
2021-09-26,Troyes vs Angers,2021_22,ligue1,Home,-5,1.89,2.75,✅ Excellent,loss,-1.0
2021-09-26,Bordeaux vs Rennes,2021_22,ligue1,Home,-5,1.89,3.35,✅ Excellent,loss,-1.0
2021-09-26,Reims vs Nantes,2021_22,ligue1,Away,-4,2.6,2.87,✅ Fair,loss,-1.0
2021-09-26,Brest vs Metz,2021_22,ligue1,Draw,2,2.75,3.46,✅ Good,loss,-1.0
2021-09-26,Clermont vs Monaco,2021_22,ligue1,Home,-6,3.38,3.63,✅ Fair,loss,-1.0
2021-09-26,Clermont vs Monaco,2021_22,ligue1,Draw,-6,3.0,3.57,✅ Good,loss,-1.0
2021-09-26,Marseille vs Lens,2021_22,ligue1,Away,4,3.83,4.52,✅ Fair,win,3.52
2021-10-01,Lens vs Reims,2021_22,ligue1,Draw,3,2.52,3.58,✅ Good,loss,-1.0
2021-10-02,Montpellier vs Strasbourg,2021_22,ligue1,Draw,-2,2.69,3.52,✅ Good,win,2.52
2021-10-02,Montpellier vs Strasbourg,2021_22,ligue1,Away,-2,2.87,2.87,✅ Fair,loss,-1.0
2021-10-03,Rennes vs Paris SG,2021_22,ligue1,Draw,-11,4.0,4.55,✅ Fair,loss,-1.0
2021-10-03,Lorient vs Clermont,2021_22,ligue1,Home,12,1.5,2.45,✅ Excellent,loss,-1.0
